2.21.185.196        # ecn.dev.virtualearth.net
3.93.122.151        # keystone.mwbsys.com
3.140.11.117        # 2.android.pool.ntp.org
3.162.103.90        # api.rlje.net
3.162.103.95        # api.rlje.net
3.162.103.103       # api.rlje.net
3.162.103.129       # api.rlje.net
3.162.112.20        # livepassdl.conviva.com
3.162.112.30        # livepassdl.conviva.com
3.162.112.116       # livepassdl.conviva.com
3.162.112.121       # livepassdl.conviva.com
3.162.125.25        # display.ugc.bazaarvoice.com
3.162.125.40        # display.ugc.bazaarvoice.com
3.162.125.47        # display.ugc.bazaarvoice.com
3.162.125.48        # display.ugc.bazaarvoice.com
3.212.101.191       # delivery.vidible.tv
3.214.45.18         # delivery.vidible.tv
3.218.45.225        # delivery.vidible.tv
3.219.221.27        # dataplicity.com
13.32.151.9         # s.marketwatch.com
13.32.151.16        # s.marketwatch.com
13.32.151.51        # s.marketwatch.com
13.32.151.81        # s.marketwatch.com
13.86.61.82         # continuum.dds.microsoft.com
13.107.4.50         # dl.delivery.mp.microsoft.com
13.107.6.156        # office.com
13.107.42.13        # onedrive.live.com
13.107.226.40       # clientconfig.passport.net
13.107.253.40       # clientconfig.passport.net
13.249.39.12        # secure.surveymonkey.com
13.249.39.24        # secure.surveymonkey.com
13.249.39.52        # secure.surveymonkey.com
13.249.39.118       # secure.surveymonkey.com
16.182.72.160       # s3.amazonaws.com
17.32.194.6         # appleid.apple.com
17.32.194.37        # appleid.apple.com
17.253.21.201       # ocsp.apple.com
17.253.21.204       # ocsp.apple.com
18.67.66.8          # d2gatte9o95jao.cloudfront.net
18.67.66.56         # d2gatte9o95jao.cloudfront.net
18.67.66.81         # d2gatte9o95jao.cloudfront.net
18.67.66.125        # d2gatte9o95jao.cloudfront.net
18.160.0.17         # d2c8v52ll5s99u.cloudfront.net
18.160.0.148        # d2c8v52ll5s99u.cloudfront.net
18.160.0.182        # d2c8v52ll5s99u.cloudfront.net
18.160.0.206        # d2c8v52ll5s99u.cloudfront.net
18.160.41.51        # intercom.io
18.160.41.77        # intercom.io
18.160.41.107       # intercom.io
18.160.41.123       # intercom.io
18.160.46.58        # driftt.com
18.160.46.106       # driftt.com
18.160.46.126       # driftt.com
18.160.46.127       # driftt.com
18.165.83.16        # widget-cdn.rpxnow.com
18.165.83.33        # widget-cdn.rpxnow.com
18.165.83.49        # widget-cdn.rpxnow.com
18.165.83.116       # widget-cdn.rpxnow.com
20.9.82.241         # xkms.xboxlive.com
20.22.113.133       # displaycatalog.mp.microsoft.com
20.22.207.36        # g.live.com
20.36.236.157       # dev.virtualearth.net
20.70.246.20        # 1drv.com
20.76.201.171       # 1drv.com
20.98.79.229        # notify.xboxlive.com
20.109.105.194      # device.auth.xboxlive.com
20.112.250.133      # 1drv.com
20.190.151.6        # login.microsoftonline.com
20.190.151.8        # login.microsoftonline.com
20.190.151.9        # login.microsoftonline.com
20.190.151.68       # login.microsoftonline.com
20.190.151.69       # login.microsoftonline.com
20.190.151.70       # login.microsoftonline.com
20.190.151.131      # login.microsoftonline.com
20.190.151.134      # login.microsoftonline.com
20.190.190.130      # login.live.com
20.190.190.131      # login.live.com
20.190.190.193      # login.live.com
20.190.190.194      # login.live.com
20.190.190.196      # login.live.com
20.231.239.246      # 1drv.com
20.236.44.162       # 1drv.com
23.38.169.11        # ax.phobos.apple.com.edgesuite.net
23.38.169.83        # ax.phobos.apple.com.edgesuite.net
23.47.68.83         # res.cloudinary.com
23.47.168.52        # eds.xboxlive.com
23.55.243.137       # www.msftncsi.com
23.55.243.139       # www.msftncsi.com
23.60.0.151         # cdn.optimizely.com
23.185.0.3          # drift.com
23.196.168.227      # t0.ssl.ak.dynamic.tiles.virtualearth.net
23.204.152.144      # lastfm-img2.akamaized.net
23.204.152.167      # lastfm-img2.akamaized.net
23.208.41.246       # cdn2.optimizely.com
23.212.80.122       # t0.ssl.ak.tiles.virtualearth.net
34.195.242.64       # tvdb2.plex.tv
34.205.60.228       # pings.conviva.com
34.231.215.155      # dataplicity.com
35.186.224.25       # spclient.wg.spotify.com
35.208.57.113       # imgix.net
37.187.255.43       # apt.sonarr.tv
40.71.11.169        # office365.com
40.91.118.65        # xflight.xboxlive.com
40.97.188.2         # outlook.office365.com
40.97.190.18        # outlook.office365.com
40.126.62.130       # login.live.com
40.126.62.131       # login.live.com
40.126.62.132       # login.live.com
44.207.35.68        # keystone.mwbsys.com
45.56.116.228       # pubsub.plex.bz
45.60.12.94         # secure.avangate.com
50.31.32.191        # o1.email.plex.tv
52.73.225.37        # keystone.mwbsys.com
52.85.61.51         # www.dataplicity.com
52.85.61.85         # www.dataplicity.com
52.85.61.96         # www.dataplicity.com
52.85.61.129        # www.dataplicity.com
52.96.9.178         # outlook.live.com
52.96.38.82         # outlook.office365.com
52.96.87.210        # outlook.live.com
52.96.88.82         # outlook.live.com
52.96.109.130       # outlook.live.com
52.96.179.114       # outlook.office365.com
52.109.20.38        # officeclient.microsoft.com
52.111.229.48       # nexusrules.officeapps.live.com
52.143.86.214       # geo-prod.do.dsp.mp.microsoft.com
52.154.153.245      # attestation.xboxlive.com
52.158.215.30       # xbox.ipv6.microsoft.com
52.177.36.196       # xsts.auth.xboxlive.com
52.177.110.10       # title.auth.xboxlive.com
52.184.201.245      # title.mgt.xboxlive.com
52.214.150.12       # my.plexapp.com
52.216.21.181       # s3.amazonaws.com
52.216.60.216       # s3.amazonaws.com
52.216.99.45        # s3.amazonaws.com
52.217.87.150       # s3.amazonaws.com
52.217.122.8        # s3.amazonaws.com
52.217.170.176      # s3.amazonaws.com
52.232.208.89       # cert.mgt.xboxlive.com
52.241.128.114      # win10.ipv6.microsoft.com
52.250.25.60        # licensing.xboxlive.com
54.163.187.0        # tvdb2.plex.tv
54.194.85.105       # my.plexapp.com
54.208.104.165      # pings.conviva.com
54.231.172.112      # s3.amazonaws.com
54.235.186.196      # keystone.mwbsys.com
63.140.38.100       # om.cbsi.com
63.140.38.128       # om.cbsi.com
63.140.38.137       # om.cbsi.com
63.140.38.139       # om.cbsi.com
63.140.38.151       # om.cbsi.com
63.140.38.163       # om.cbsi.com
63.140.38.219       # om.cbsi.com
63.140.38.229       # om.cbsi.com
63.140.38.232       # om.cbsi.com
63.140.38.237       # om.cbsi.com
64.185.227.156      # api.ipify.org
69.147.92.11        # cdn.vidible.tv
69.147.92.12        # cdn.vidible.tv
72.21.81.187        # gfwsl.geforce.com
72.21.206.80        # amazonaws.com
72.21.210.29        # amazonaws.com
74.86.186.25        # nine.plugins.plexapp.com
99.84.210.185       # thetvdb.com
104.16.89.50        # cdn.embedly.com
104.16.90.50        # cdn.embedly.com
104.17.24.14        # cdnjs.cloudflare.com
104.17.25.14        # cdnjs.cloudflare.com
104.18.41.153       # meta.plex.tv
104.18.43.115       # tvthemes.plexapp.com
104.18.212.12       # jquery.com
104.18.213.12       # jquery.com
104.20.138.65       # tinyurl.com
104.20.139.65       # tinyurl.com
104.21.60.12        # placehold.it
104.22.24.131       # tawk.to
104.22.25.131       # tawk.to
104.26.0.163        # forums.sonarr.tv
104.26.1.163        # download.sonarr.tv
104.43.221.31       # office365.com
104.105.83.130      # help.ui.xboxlive.com
104.105.92.129      # imagesak.secureserver.net
104.105.95.122      # products.office.com
104.110.249.116     # players.brightcove.net
104.110.250.29      # c.s-microsoft.com
104.237.62.212      # api.ipify.org
104.244.42.5        # t.co
108.138.85.10       # status.plex.tv
108.138.85.53       # status.plex.tv
108.138.85.91       # status.plex.tv
108.138.85.104      # status.plex.tv
108.181.220.94      # 2.android.pool.ntp.org
130.211.19.189      # ws.audioscrobbler.com
131.107.255.255     # dns.msftncsi.com
140.82.114.4        # github.com
142.250.31.95       # appsbackup-pa.clients6.google.com
142.250.31.102      # android.clients.google.com
142.250.31.138      # android.clients.google.com
142.250.31.153      # appspot-preview.l.google.com
142.251.16.91       # www.youtube-nocookie.com
142.251.16.93       # www.youtube-nocookie.com
142.251.16.95       # appsbackup-pa.googleapis.com
142.251.16.119      # i.ytimg.com
142.251.16.136      # www.youtube-nocookie.com
142.251.16.190      # www.youtube-nocookie.com
142.251.111.91      # youtube-nocookie.com
142.251.111.93      # youtube-nocookie.com
142.251.111.95      # instantmessaging-pa.googleapis.com
142.251.111.100     # android.clients.google.com
142.251.111.101     # android.clients.google.com
142.251.111.102     # android.clients.google.com
142.251.111.113     # android.clients.google.com
142.251.111.119     # i.ytimg.com
142.251.111.132     # geo3.ggpht.com
142.251.111.136     # youtube-nocookie.com
142.251.111.138     # android.clients.google.com
142.251.111.139     # android.clients.google.com
142.251.111.190     # youtube-nocookie.com
142.251.163.91      # manifest.googlevideo.com
142.251.163.93      # manifest.googlevideo.com
142.251.163.94      # connectivitycheck.gstatic.com
142.251.163.95      # appsbackup-pa.googleapis.com
142.251.163.100     # clients5.google.com
142.251.163.101     # clients2.google.com
142.251.163.102     # clients5.google.com
142.251.163.113     # android.clients.google.com
142.251.163.119     # i.ytimg.com
142.251.163.136     # manifest.googlevideo.com
142.251.163.138     # clients2.google.com
142.251.163.139     # clients5.google.com
142.251.163.190     # manifest.googlevideo.com
142.251.167.91      # www.youtube-nocookie.com
142.251.167.93      # www.youtube-nocookie.com
142.251.167.94      # fonts.gstatic.com
142.251.167.95      # instantmessaging-pa.googleapis.com
142.251.167.101     # android.clients.google.com
142.251.167.102     # android.clients.google.com
142.251.167.119     # i.ytimg.com
142.251.167.136     # www.youtube-nocookie.com
142.251.167.190     # www.youtube-nocookie.com
146.75.28.67        # imgs.xkcd.com
146.75.30.27        # edge.api.brightcove.com
146.75.30.133       # hls.ted.com
146.75.38.114       # ssl.p.jwpcdn.com
146.75.38.133       # vidtech.cbsinteractive.com
151.101.1.185       # giphy.com
151.101.65.185      # giphy.com
151.101.129.185     # giphy.com
151.101.193.185     # giphy.com
152.70.159.102      # 2.android.pool.ntp.org
152.199.4.253       # img.vidible.tv
158.247.7.199       # no-ip.com
158.247.7.204       # dynupdate.no-ip.com
162.125.6.15        # dl.dropbox.com
162.125.9.15        # dl.dropboxusercontent.com
162.125.21.4        # ns2.dropbox.com
162.125.40.4        # ns1.dropbox.com
172.64.144.141      # tvthemes.plexapp.com
172.64.146.103      # meta.plex.tv
172.67.1.225        # tinyurl.com
172.67.38.66        # tawk.to
172.67.70.98        # forums.sonarr.tv
172.67.186.216      # placehold.it
172.104.216.125     # pubsub.plex.tv
172.253.62.91       # www.youtube-nocookie.com
172.253.62.93       # www.youtube-nocookie.com
172.253.62.95       # appsbackup-pa.googleapis.com
172.253.62.100      # clients1.google.com
172.253.62.101      # clients1.google.com
172.253.62.102      # clients1.google.com
172.253.62.113      # clients3.google.com
172.253.62.119      # i.ytimg.com
172.253.62.132      # yt3.ggpht.com
172.253.62.136      # www.youtube-nocookie.com
172.253.62.138      # clients3.google.com
